Puesto,Empresa,Detalles,Enlace
Senior ML/AI Engineer,WIZELINE,16/03/2026 |  | Barcelona | Inteligencia Artificial/Machine Learning,https://www.tecnoempleo.com/senior-ml-ai-engineer-wizeline/python-llm/rf-0ffa11db4205b3abe44f
Senior Angular Software Engineer,Prenomics,16/03/2026 |  | Barcelona (Híbrido) | Programador,https://www.tecnoempleo.com/senior-angular-software-engineer-prenomics/rxjs/rf-7536134a7245c304be47
Software Development Engineer - 2026,Amazon,13/03/2026 |  | Madrid | Programador,https://www.tecnoempleo.com/software-development-engineer-2026-amazon/java-python/rf-2356148252d813ae754b
Mid Level PL/SQL Developer,Talan,13/03/2026 |  | Málaga (Híbrido) | Analista Programador,https://www.tecnoempleo.com/mid-level-pl-sql-developer-talan/oracle-pl-sql/rf-6b9e1a11b284f3a47e46
Digital Transformation Analyst - IA,Michael Page,13/03/2026 |  | Barcelona | Inteligencia Artificial/Machine Learning | 42.000€ - 45.000€ b/a | Contrato temporal,https://www.tecnoempleo.com/digital-transformation-analyst-ia-michael-page/google-notebooklm/rf-34721473f2d9d333794b
Principal ML Ops Engineer,EPAM,12/03/2026 |  | Madrid | DevOps,https://www.tecnoempleo.com/principal-ml-ops-engineer-epam/python-airflow/rf-65a7151eb27dc3380349
Agile Facilitator (m/f/d),BASF,12/03/2026 |  | Madrid | Consultor,https://www.tecnoempleo.com/agile-facilitator-m-f-d-basf/azure-devops/rf-2b15173ff2d993a7044c
GenAI Engineer,PANEL Sistemas Informáticos,09/03/2026 |  | 100% remoto | Analista,https://www.tecnoempleo.com/genai-engineer-panel-sistemas-informaticos/machine-learning-deep-learning/rf-26c81cf8e292833ca14b
Senior Software Engineer - AI Platform,FeverUp,09/03/2026 |  | Madrid | Inteligencia Artificial/Machine Learning,https://www.tecnoempleo.com/senior-software-engineer-ai-platform-feverup/llm-openai/rf-5f881c77a2fac36eec4a
PL/SQL Developer,Talan,09/03/2026 |  | Málaga | Analista Programador,https://www.tecnoempleo.com/pl-sql-developer-talan/oracle-pl-sql/rf-886415f5a27e73d26a4d
Machine Learning Engineer,Michael Page,09/03/2026 |  | Barcelona (Híbrido) | Inteligencia Artificial/Machine Learning,https://www.tecnoempleo.com/machine-learning-engineer-michael-page/python-pytorch/rf-e9bb1402828ef3999848
Manager Generative AI,Accenture,06/03/2026 |  | Madrid | Consultor,https://www.tecnoempleo.com/manager-generative-ai-accenture/generative-ai-genai/rf-e1ea1888120693a69144
AI Manager,EY,03/03/2026 |  | Madrid (Híbrido) | Inteligencia Artificial/Machine Learning,https://www.tecnoempleo.com/ai-manager-ey/inteligencia-artificial-gen-ai/rf-dd0017f6421023a86f48
Lead DevOps Engineer,WayOps,02/03/2026 |  | Madrid | DevOps,https://www.tecnoempleo.com/lead-devops-engineer-wayops/aws-ci-cd/rf-34b81fa7528663eb8446
Senior Programmer Python,Krell Consulting & Training,26/02/2026 |  | Barcelona (Híbrido) | Programador | Contrato temporal,https://www.tecnoempleo.com/senior-programmer-python-krell-consulting-training/sql-aws/rf-dacd1369823e73a7d745
AI Specialist - Task Automation,Santander,20/02/2026 |  | Madrid | Inteligencia Artificial/Machine Learning,https://www.tecnoempleo.com/ai-specialist-task-automation-santander/tensorflow-pytorch/rf-5c9a15f172ffa3802c4f
Programador/a Junior SAS y/o R,Quental,19/02/2026 |  | 100% remoto | Analista | 21.000€ - 24.000€ b/a,https://www.tecnoempleo.com/programador-junior-sas-y-o-r-quental/sas/rf-7b9d1a6852e373ebe245
SAP BTP Developer - AI Expert,Accenture,17/02/2026 |  | Madrid | Programador,https://www.tecnoempleo.com/sap-btp-developer-ai-expert-accenture/sap-btp-hana/rf-d15713efd28e23e89446
Software Dev Engineer,Amazon,13/02/2026 |  | Madrid | Programador,https://www.tecnoempleo.com/software-dev-engineer-amazon/java-python/rf-294910d2f26843a15d41
Junior SAP BW/4HANA Consultant,Julius Baer,30/01/2026 |  | Madrid | Consultor,https://www.tecnoempleo.com/junior-sap-bw-4hana-consultant-julius-baer/sap/rf-055616598278e3b5234c
Senior SAP BW/4HANA Consultant,Julius Baer,30/01/2026 |  | Madrid | Consultor,https://www.tecnoempleo.com/senior-sap-bw-4hana-consultant-julius-baer/sap/rf-0b5d1ae642c4e392f840
AI Engineer (GenAI & LLMOps),WayOps,20/01/2026 |  | Madrid | Inteligencia Artificial/Machine Learning,https://www.tecnoempleo.com/ai-engineer-genai-llmops-wayops/python-langchain/rf-25fc193b928d030e544c
Arquitecto/a de Datos,Accenture,25/12/2025 |  | Madrid | Arquitecto TIC,https://www.tecnoempleo.com/arquitecto-datos-accenture/genai-aws/rf-eed61f3182f7e388ba4e
Senior ML/LLM Engineer,Sopra Steria,04/12/2025 |  | Barcelona | Inteligencia Artificial/Machine Learning,https://www.tecnoempleo.com/senior-ml-llm-engineer-sopra-steria/machine-learning-numpy/rf-ab8311d2528403ba194a
Full Stack Developers,BASF,28/07/2025 |  | Madrid | Programador,https://www.tecnoempleo.com/full-stack-developers-basf/java-angular/rf-816b1aa7923f83e16c47
Full Stack Developer Mobile,BASF,28/03/2025 |  | Madrid (Híbrido) | Desarrollador Móvil,https://www.tecnoempleo.com/full-stack-developer-mobile-basf/kotlin-html-java-javascript/rf-bd291d9292a3a35e1049
Programador/a .NET y Python,The Adecco Group,17/10/2024 |  | Asturias | Programador | Contrato temporal,https://www.tecnoempleo.com/programador-a-net-python-asturias/net-python/rf-c25bvd938r71291a14z9
